"season","year","South_PCP","mean_cmDay","WTE","Snow_in","MEANC","d.15_S2E","d.15_S2S","d.76_S2E","d.76_S2S","d.137_S2E","d.137_S2S"
"Snow",2002,27.18,0.00337132692307692,421.893798076923,48.5,-3.05288461538462,3.23,3.81,1.73,5.33,1.4,2.59
"Growing",2003,27.94,0.00445061956521739,421.939239130435,0,17.3260869565217,2.69,2.03,1.55,4.72,1.73,2.9
"Melt",2003,22.93,0.00570977906976744,421.975465116279,0.8,11.9476744186047,3.38,5.05,3.15,6.83,1.73,4.27
"Snow",2003,15.56,0.000584010695187166,421.851604278075,38.3,-7.27540106951872,2.69,3.28,1.57,4.44,1.68,2.72
"Growing",2004,38.32,0.00908948387096774,421.947204301075,0,15.9139784946237,3.96,4.04,3.33,7.26,1.7,4.39
"Melt",2004,19.58,0.0090318829787234,421.973404255319,0.2,8.85106382978723,3.81,3.96,3.33,7.11,1.93,4.32
"Snow",2004,20.93,6.27709497206704e-05,421.874804469274,72.3,-5.9804469273743,3.89,5.21,3.17,7.04,1.68,4.57
"Growing",2005,14.62,4.52197802197802e-05,421.808351648352,0,17.7252747252747,2.44,2.84,0.91,4.01,0.89,2.59
"Melt",2005,28.57,0.0156672421052632,422.002947368421,0.5,11.6421052631579,5.59,4.75,3.76,7.52,1.88,4.78
"Snow",2005,23.57,0.00143342458100559,421.933296089385,52.8,-5.79329608938547,3.4,4.14,1.83,6.58,1.55,2.41
"Growing",2006,15.63,0,421.661739130435,0,17.4945652173913,2.31,2.59,0.86,3.86,1.27,2.24
"Melt",2006,22.25,0.01041190625,421.967916666667,0,12.7083333333333,4.06,4.44,3.35,7.34,1.8,4.93
"Snow",2006,30.46,0.00155768926553672,421.903502824859,47.9,-4.06497175141243,3.17,4.37,1.35,4.52,1.5,2.31
"Growing",2007,22.45,0,421.729782608696,0,17.0217391304348,3.05,4.55,1.37,5.61,1.37,2.34
"Melt",2007,20.59,0.00822291764705882,421.967411764706,0,13.9294117647059,4.24,6.1,3.2,6.91,1.7,4.01
"Snow",2007,23.89,0.00146433510638298,421.707819148936,44.9,-5.0186170212766,4.04,4.24,3.17,6.96,1.55,4.27
"Growing",2008,18.9,0.000418978494623656,421.815053763441,0,16.8413978494624,2.44,1.96,1.37,4.55,1.73,3.05
"Melt",2008,21.84,0.0148328421052632,421.968026315789,4.1,11.7236842105263,3.78,4.93,3.1,7.19,1.73,4.75
"Snow",2008,29.64,0.0013246192893401,421.795228426396,61.6,-6.28807106598985,3.86,3.91,1.68,5.44,1.27,2.34
"Growing",2009,19.93,0.000390241758241758,421.836043956044,0,16.6098901098901,1.63,1.91,2.13,5.44,2.16,3.4
"Melt",2009,16.32,0.0100464831460674,421.939550561798,0.2,10.4691011235955,4.14,4.27,3.38,7.19,1.88,4.55
"Snow",2009,33.82,0.00143108648648649,421.820756756757,60.7,-7.57837837837838,3.96,6.17,2.64,6.35,1.78,3.17
"Growing",2010,40.48,0.00664803260869565,421.946195652174,0,16.9836956521739,3.58,4.62,3.71,7.16,2.18,4.72
"Melt",2010,21.54,0.00269490265486726,421.91982300885,4.2,10.8185840707965,3.63,5.11,3.2,7.14,1.55,4.6
"Snow",2010,20.56,0.0008508,421.8015,26.2,-5.9921875,5.08,5.61,3.84,7.32,1.78,4.83
"Growing",2011,26.9,0.00517114130434783,421.912391304348,0,17.6548913043478,3.58,2.46,2.26,5.44,2.44,4.6
"Melt",2011,27.12,0.0104665584415584,421.949480519481,6.4,11.8668831168831,4.8,5.21,3.78,7.16,2.59,4.98
"Snow",2011,28.09,0.0033228112244898,421.899030612245,70.8,-5.46683673469388,3.4,4.17,2.29,5.49,2.29,4.06
"Growing",2012,15.52,0.000184376344086022,421.81311827957,0,17.6962365591398,0.74,0.71,0,0.3,1.96,2.29
"Melt",2012,28.85,0.01242892,421.9464,0.8,13.4866666666667,3.53,3.51,3.35,7.49,2.44,4.47
"Snow",2012,30.21,0.00139093434343434,421.819444444444,41.2,-1.32954545454545,3.63,3.35,0,0.66,2.13,2.29
"Growing",2014,20.57,0.00105846739130435,421.904456521739,0,16.5625,3.33,3.45,1.55,1.32,2.11,3.3
"Melt",2014,38.6,0.0218195119047619,421.9725,4.4,11.2857142857143,4.72,5.03,3.33,4.72,2.64,4.29
"Snow",2014,NA,0.000162994708994709,421.780952380952,80.2,-9.72751322751323,2.92,3.2,1.78,1.24,2.72,3.1
"Growing",2015,28.52,0.00148921739130435,421.887934782609,0,18.1413043478261,3.96,3.71,1.37,1.88,1.88,2.84
"Melt",2015,29.92,0.00613243362831858,421.893982300885,2.3,9.38053097345133,5.31,5.13,3.56,5.03,2.77,4.17
"Snow",2015,11.78,1.6275e-05,421.761625,33.4,-7.575,3.15,3.73,3.23,4.17,2.18,3.45
"Growing",2016,38.55,0.00632423655913979,421.937419354839,0,17.7365591397849,4.93,4.11,2.84,3.53,2.46,4.47
"Melt",2016,21.77,0.00566161458333333,421.930416666667,3.8,10.7786458333333,3.3,5.59,3,3.84,3,4.55
"Snow",2016,34.97,0.00427176836158192,421.901638418079,49.1,-3.00988700564972,3.25,5.64,3,4.22,3.02,4.72
"Snow",2017,27.36,0.00218458278145695,421.929583333333,67,-4.04166666666667,3.2,4.24,2.03,4.06,2.08,3.61
