"DATE","LOCATION","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
1970-03-04,"S5",4.9,3.05,1.68,3.35,3.2,2.9,2.9,4.57,NA,NA,NA
1970-03-04,"S4E",5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-03-04,"S4W",5.21,4.42,5.33,3.51,3.66,3.2,2.9,2.9,NA,NA,NA
1970-03-04,"S4S",4.72,3.51,1.37,1.98,2.29,3.51,2.29,2.44,2.74,2.29,NA
1970-03-04,"S1N",5.61,6.88,4.11,3.51,1.98,1.68,1.83,2.29,2.74,3.2,2.9
1970-03-06,"S6",3.99,4.42,4.57,3.2,2.13,1.83,1.83,NA,NA,NA,NA
1970-03-06,"S3W",3.2,4.11,0.61,1.07,3.05,2.74,3.81,2.9,1.98,3.2,4.72
1970-03-06,"S3E",4.72,6.71,0.91,0.91,2.13,2.74,1.98,1.07,1.07,0.3,0.46
1970-05-06,"S1N",4.88,8.1,4.88,4.72,3.96,3.51,3.51,3.81,3.51,5.03,5.49
1970-05-06,"S1S",4.17,7.77,4.27,4.57,4.27,5.64,4.42,4.27,10.21,10.06,10.97
1970-05-06,"S2E",3.84,8.38,3.81,3.81,3.81,3.96,3.51,NA,NA,NA,NA
1970-05-06,"S2W",3.12,3.81,2.29,3.51,2.9,3.05,3.2,3.66,3.35,3.35,2.74
1970-05-06,"S2S",5.61,7.16,6.25,5.64,5.18,4.57,5.03,5.49,7.82,NA,NA
1970-05-07,"S3W",3,2.44,2.13,3.35,5.64,4.57,5.49,5.64,4.27,3.96,7.16
1970-05-08,"S4E",8.36,7.16,6.4,5.79,4.88,5.28,5.18,4.42,4.72,NA,NA
1970-05-08,"S4S",1.68,3.05,2.59,3.96,6.4,6.1,4.42,4.27,3.81,3.2,NA
1970-05-08,"S4W",4.09,7.16,6.4,5.79,4.88,5.03,5.18,4.42,4.72,NA,NA
1970-05-08,"S5",3.51,2.84,3.35,3.81,3.51,2.9,3.2,4.72,NA,NA,NA
1970-05-07,"S6",2.92,6.1,5.03,3.81,3.66,4.11,3.81,NA,NA,NA,NA
1970-09-17,"S1N",1.27,1.85,1.68,1.68,0.76,1.68,1.52,2.44,2.74,3.35,3.35
1970-09-17,"S1S",1.32,0.61,1.22,1.52,0.76,0.91,1.07,0.15,0.46,0.61,8.38
1970-09-17,"S2E",2.03,0.3,0.3,1.52,1.22,1.07,1.07,1.07,NA,NA,NA
1970-09-17,"S2W",1.45,0.61,0.76,2.29,2.13,2.59,3.2,3.05,2.9,2.44,1.37
1970-09-17,"S2S",1.42,0.15,0.91,3.2,2.74,2.29,3.05,2.74,1.98,NA,NA
1970-09-24,"S3W",1.12,0.61,0.3,0.15,0.3,NA,1.52,1.98,1.68,2.44,2.44
