"","YEAR","LOCATION","season","d.15","d.46","d.76","d.107","d.137","d.168","d.198","d.229","d.259","d.290","d.320"
"76",1987,"S2E","Growing",3.23,4.88,1.98,1.37,1.98,1.37,1.52,1.52,NA,NA,NA
"77",1987,"S2E","Melt",3.63,5.79,3.2,3.51,3.05,3.05,3.05,3.05,NA,NA,NA
"78",1987,"S2E","Snow",2.64,5.49,2.13,1.83,1.83,1.37,1.37,1.37,NA,NA,NA
"79",1987,"S2S","Growing",3.07,3.05,3.51,3.51,3.05,2.74,3.05,2.74,0.61,1.22,1.22
"80",1987,"S2S","Melt",3.28,5.79,5.94,5.33,4.72,4.11,4.72,5.03,2.9,2.59,2.29
"81",1987,"S2S","Snow",2.54,3.35,3.66,3.35,3.05,2.59,2.9,2.74,0.91,1.22,1.22
"82",1990,"S2E","Growing",0.79,0.79,0.91,1.19,1.5,1.27,1.73,1.73,NA,NA,NA
"83",1990,"S2E","Melt",3.66,8.36,3.68,2.9,2.26,1.47,1.78,1.78,NA,NA,NA
"84",1990,"S2E","Snow",2.49,4.09,1.78,1.5,1.5,1.17,1.4,1.4,NA,NA,NA
"85",1990,"S2S","Growing",1.63,0.15,4.17,2.69,2.31,2.03,2.41,2.24,NA,0.86,0.64
"86",1990,"S2S","Melt",3.86,5.03,7.34,4.57,4.55,4.11,4.62,4.83,2.49,3.15,2.49
"87",1990,"S2S","Snow",2.92,3.56,6.3,3.17,2.46,2.18,2.26,2.13,NA,0.91,0.56
"88",1991,"S2E","Growing",2.24,1.8,0.94,1.24,1.55,1.22,1.5,1.5,NA,NA,NA
"89",1991,"S2E","Melt",3.15,7.34,3.25,2.87,1.98,1.42,1.35,1.35,NA,NA,NA
"90",1991,"S2E","Snow",2.92,4.29,1.32,1.02,1.47,1.17,1.35,1.35,NA,NA,NA
"91",1991,"S2S","Growing",2.31,1.27,4.22,2.74,2.46,2.11,2.24,2.11,NA,0.86,0.64
"92",1991,"S2S","Melt",5.13,4.24,6.96,4.72,4.44,4.09,4.37,4.9,1.5,2.84,2.39
"93",1991,"S2S","Snow",3.76,2.72,4.29,2.62,2.29,1.83,2.31,2.24,NA,0.91,0.64
"94",1992,"S2E","Growing",3.3,7.26,3.38,2.39,1.98,1.37,1.57,1.57,NA,NA,NA
"95",1992,"S2E","Melt",2.26,6.15,3.1,3.05,1.93,1.27,1.42,1.42,NA,NA,NA
"96",1992,"S2E","Snow",3.56,5.77,3.02,2.39,1.96,1.52,1.32,1.32,NA,NA,NA
"97",1992,"S2S","Growing",3.78,4.24,7.04,4.93,4.37,3.94,4.39,5.13,1.78,2.77,2.41
"98",1992,"S2S","Melt",2.79,3.48,6.88,4.88,4.32,3.99,4.37,4.44,1.52,2.64,2.31
"99",1992,"S2S","Snow",3.76,3.99,6.88,4.72,4.47,3.96,4.39,4.6,1.37,2.08,1.8
"100",1993,"S2E","Growing",3.84,5.23,2.31,1.96,1.85,1.52,1.55,1.55,NA,NA,NA
"101",1993,"S2E","Melt",2.97,7.62,3.61,2.77,1.96,1.55,1.52,1.52,NA,NA,NA
"102",1993,"S2E","Snow",3.58,5.21,2.29,2.08,1.96,1.52,1.52,1.52,NA,NA,NA
"103",1993,"S2S","Growing",3.28,3.05,6.3,4.32,3.61,3.05,3.48,3.61,0.18,2.18,1.7
"104",1993,"S2S","Melt",4.62,4.44,6.88,4.75,4.44,4.11,4.47,4.9,1.85,2.9,2.41
"105",1993,"S2S","Snow",2.9,3.4,6.27,3.94,3.53,3.07,3.38,3.3,0.28,1.8,1.63
"106",1994,"S2E","Growing",3.07,7.04,3.2,1.93,1.85,1.57,1.63,1.63,NA,NA,NA
"107",1994,"S2E","Melt",3.33,8.89,3.48,2.77,1.98,1.52,1.65,1.65,NA,NA,NA
"108",1994,"S2E","Snow",7.04,7.04,3.51,2.54,1.93,1.5,1.65,1.65,NA,NA,NA
"109",1994,"S2S","Growing",2.95,4.14,6.55,4.47,3.53,3.23,3.33,3.71,1.24,1.98,1.55
"110",1994,"S2S","Melt",3.78,5,7.14,4.88,4.39,4.09,4.37,4.98,2.46,3.33,2.46
"111",1994,"S2S","Snow",7.67,4.57,7.04,4.72,4.52,3.94,4.44,4.78,2.11,2.62,1.83
"112",1995,"S2E","Growing",2.31,2.54,1.73,1.7,1.83,1.63,1.83,1.83,NA,NA,NA
"113",1995,"S2E","Melt",3.3,8.89,3.76,2.84,2.11,1.73,1.85,1.85,NA,NA,NA
"114",1995,"S2E","Snow",4.27,7.75,3.38,2.72,2.03,1.5,1.63,1.63,NA,NA,NA
"115",1995,"S2S","Growing",1.55,1.55,5.13,3.45,3,2.64,2.77,2.87,0.05,1.8,1.5
"116",1995,"S2S","Melt",4.14,5.46,7.37,5.08,4.55,4.14,4.83,5.23,2.92,3.53,2.79
"117",1995,"S2S","Snow",3.45,4.57,7.11,4.88,4.52,3.99,4.52,4.72,1.78,2.9,2.34
"118",1996,"S2E","Growing",1.85,1.02,1.19,1.17,1.65,1.5,1.78,1.78,NA,NA,NA
"119",1996,"S2E","Melt",4.01,8.26,3.66,3.07,2.08,1.68,1.8,1.8,NA,NA,NA
"120",1996,"S2E","Snow",2.95,8.41,2.92,2.13,1.78,1.47,1.57,1.57,NA,NA,NA
